,Phenotype_E,Phenotype_E,Phenotype_E,Phenotype_E,Phenotype_E,Phenotype_E,Phenotype_E,Phenotype_E
label,count,mean,std,min,25%,50%,75%,max
case,275369.0,-0.1200378110418990,0.6439571012034080,-3.491311931146790,-0.528110172619457,-0.07910016930125260,0.32950168890018900,2.176565456207830
control,222151.0,1.0690090117053800,0.6162215845238420,-1.3747050180502300,0.643031461532069,1.0320737040525500,1.4585212543586600,4.0457316061842200
